Timestamp,Open,Close,Low,High,Volume_(BTC),Volume_(Currency),Weighted_Price,hash_rate,Search_volume,Block_size,Difficulty,active_addresses,Block_time,Average fees,mining_profitability,Transactions,Tweets_volume
2016-12-23,858.94,914.0,858.93,920.0,16526.62879671,14837057.963418407,914.0,2343510.43,4.0,887907.0,310153855703.0,561045,9.474,0.295,0.758,304845,29448
2016-12-24,914.48,892.61,878.89,918.5,6026.454704010008,5425021.879714333,892.61,2112242.95,4.0,854807.0,310153855703.0,481373,10.511,0.312,0.74,240683,22045
2016-12-25,892.61,890.67,859.0,894.97,4658.236421760004,4071449.1611153376,890.67,2574777.90954212,5.0,648043.0,310153855703.0,411608,8.727,0.274,0.776,197199,17925
2016-12-26,890.65,897.1,888.0,905.18,3467.54622755,3117208.4180406653,897.1,2189332.11,5.0,855780.0,310153855703.0,535596,10.141,0.322,0.682,244772,19894
2016-12-27,897.82,930.34,891.0,936.42,7225.77311730999,6665199.068308659,930.34,2405181.75,5.0,876556.0,310153855703.0,575134,9.231,0.306,0.83,296390,22525
2016-12-28,930.34,976.47,929.49,976.48,12285.11131171999,11744311.236976484,976.38140386,2589949.6705277,5.0,868397.0,312083434212.0,556252,8.78,0.325,0.806,305230,24151
2016-12-29,976.48,969.58,950.0,980.74,7858.456853710015,7599251.051854783,969.93372567,2368856.4,5.0,940315.0,317688400354.0,574261,9.6,0.34,0.792,304455,22502
2016-12-30,969.99,959.54,931.0,970.0,10755.036494280002,10228764.23612329,959.54,2479403.03,5.0,871625.0,317688400354.0,574927,9.172,0.333,0.802,286661,18971
2016-12-31,959.54,966.3,944.11,966.37,4162.921298970003,3978648.147828361,966.2508595,2337271.65389085,5.0,803833.0,317688400354.0,521814,9.73,0.314,0.726,250125,18483
2017-01-01,966.34,997.75,960.53,1005.0,6850.5933085900015,6764742.055458084,997.63129139,2463610.66,7.0,698457.0,317688400354.0,423375,9.231,0.35,0.814,180346,21071
2017-01-02,997.75,1012.54,990.01,1032.0,8167.381030179991,8273576.985240398,1012.54,2526780.16,7.0,944795.0,317688400354.0,600708,9.057,0.392,0.927,290792,26461
2017-01-03,1011.44,1035.24,999.99,1039.0,9089.658025290002,9276500.305877583,1035.24,2589949.6705277,7.0,906491.0,317688400354.0,545102,8.78,0.396,0.829,301500,27269
2017-01-04,1035.51,1114.92,1028.56,1139.89,21562.45697196003,23469644.960636508,1114.5241199000004,2432025.91,7.0,985980.0,317688400354.0,584414,9.412,0.633,0.933,328489,31611
2017-01-05,1114.38,1004.74,885.41,1136.72,36018.861119889945,36211399.52690532,1004.4573766,2210932.64,7.0,984114.0,317688400354.0,549210,10.286,0.417,0.779,288361,33407
2017-01-06,1004.73,893.89,871.0,1026.99,27916.703098929996,25523261.27843616,894.21112475,2542572.54240829,7.0,984248.0,317688400354.0,636009,8.944,0.342,0.849,346244,29065
2017-01-07,894.02,906.2,812.28,907.05,20401.11359103004,17624310.023750458,904.53616873,2195140.26,7.0,987163.0,317688400354.0,575818,10.435,0.326,0.669,281922,22717
2017-01-08,906.2,909.75,881.3,941.81,8937.49270783002,8168170.348175479,909.60291724,2637326.79,6.0,810337.0,317688400354.0,517117,8.623,0.319,0.847,259934,19595
2017-01-09,909.8,896.23,875.0,912.87,8716.182940960003,7780059.062814792,896.5726817999998,2147763.14141322,6.0,922920.0,317688400354.0,513475,10.588,0.337,0.636,269811,23277
2017-01-10,896.09,905.05,889.41,912.47,8535.521688100005,7704271.199944422,903.50933908,2679581.83,6.0,959638.0,319489481520.0,589739,9.0,0.333,0.851,323728,22918
2017-01-11,905.24,778.62,755.0,918.4,35893.768367950004,29459968.901077207,777.87900369,2562350.13,6.0,922933.0,336899932796.0,525287,9.412,0.311,0.621,302905,29228
2017-01-12,778.7,807.47,751.34,832.99,17400.14155465001,13632251.443131477,807.47037917,2897297.86405773,6.0,801596.0,336899932796.0,525778,8.372,0.279,0.652,294953,30387
2017-01-13,807.51,825.86,775.0,831.4,11409.520330020005,9224729.890113143,825.92391536,2528855.36,6.0,840405.0,336899932796.0,513655,9.6,0.287,0.552,272597,28785
2017-01-14,825.98,818.27,810.0,837.76,6614.718991620002,5470214.991769363,818.27,2880550.47,6.0,742684.0,336899932796.0,487220,8.372,0.296,0.705,242097,22367
2017-01-15,819.52,821.86,808.0,823.45,4231.463903490004,3455365.871203652,821.85333333,2796813.54507307,4.0,676985.0,336899932796.0,475729,8.623,0.285,0.628,235832,22232
